time,pos_x,pos_y,lin_vel_x
1754415358296518364,0.0,0.0,0.0
1754415358313254777,0.0,0.0,0.0
1754415358331279168,0.0,0.0,0.0
1754415358351587807,2.8727786741294143e-07,-0.0003607536610971094,0.054005213760785126
1754415358373520208,3.0520510677896465e-06,-0.0033428566368612703,0.2442052137607851
1754415358394064106,1.7023586708110212e-05,-0.010128945313330123,0.4344052137607851
1754415358410483789,0.00027242280922231527,-0.020713324502813216,0.624605213760785
1754415358426094160,0.00116820027194829,-0.03507911889759864,0.814805213760785
1754415358441495089,0.002543525651152923,-0.0531205706525684,0.9924219244355034
1754415358458112881,0.0033978373933914664,-0.06348513193331921,1.0875219244355034
1754415358473971083,0.005480176003822959,-0.0870456859808933,1.2777219244355034
1754415358489605979,0.006720946319278472,-0.10022280663846453,1.369361419846438
1754415358504902130,0.009608723079224807,-0.1290698355175489,1.5156172538824761
1754415358520456303,0.011236055688153676,-0.14427728622698074,1.5432415236609984
1754415358535804278,0.01479620552492339,-0.17498115998557154,1.4996015148929942
1754415358551203714,0.016635621424828925,-0.18957847668907232,1.4429554019818662
1754415358566290325,0.020309113399810036,-0.21678666265605945,1.305116427940319
1754415358582143404,0.024000457470036655,-0.24159275635034913,1.2080642696253885
1754415358597847143,0.025870910542551206,-0.253354882954867,1.173925490498847
1754415358613495457,0.02972030442743735,-0.2759929331954846,1.1261396042588472
1754415358631824887,0.03171530466232316,-0.2870492114782842,1.1208302687308103
1754415358651441107,0.03586196165408701,-0.309037961008156,1.121405356567468
1754415358671224907,0.04029026180167402,-0.3312468716723533,1.1429554032616482
1754415358688413659,0.04507942873054613,-0.35410738554484233,1.1921363538958083
1754415358706575879,0.05036080047858798,-0.37820525828900753,1.2738628755801755
1754415358727314319,0.056305368764138594,-0.4042208583051078,1.3933065043946284
1754415358748491515,0.06291489921458276,-0.43195731398505394,1.4442093622713243
1754415358766205706,0.06991228160484042,-0.459988378733524,1.4234855674049107
1754415358782904905,0.07695795819448838,-0.4868757377462012,1.3401462391154961
1754415358800191674,0.08037674697892352,-0.4995925254087544,1.2935194298773944
1754415358816031476,0.08690736393556456,-0.5236529842963303,1.2042778165768762
1754415358834521052,0.09006730886221538,-0.5350857260977876,1.1680050898606509
1754415358855109079,0.09626756026705631,-0.5570232214750283,1.1141081439078417
1754415358875440907,0.10220917019868701,-0.5781083018024441,1.0786465335992463
1754415358896128369,0.10806525351895871,-0.5986632882231678,1.059647021450412
1754415358915040146,0.11392824742640563,-0.6189026614673238,1.0481115337752709
1754415358934295473,0.11986044676885546,-0.6390133763226089,1.0486274479224906
1754415358953896524,0.12589667394087303,-0.6591068773725676,1.0494263875857013
1754415358974225398,0.13203804538942476,-0.6791844412608512,1.050153467551142
1754415358995122351,0.13827689569682658,-0.6992197887916902,1.048369862617443
1754415359014910579,0.1446028647113743,-0.7191797786571413,1.0456257160391393
