time,pos_x,pos_y,lin_vel_x
1753947817200730852,0.0,0.0,0.0
1753947817234977534,0.0,0.0,0.0
1753947817257221788,0.0,0.0,0.0
1753947817277050818,0.0,0.0,0.0
1753947817292707147,0.0002853,0.0,0.05705999999999999
1753947817308400022,0.003328499997290733,-7.209529304616257e-08,0.24725999999999998
1753947817326082206,0.010175697784353345,-4.8003154203933545e-06,0.43745999999999996
1753947817345462878,0.020822898754703754,-0.00021202699893137371,0.6276599999999999
1753947817362897680,0.035247086709071736,-0.0011460518836447138,0.8178599999999998
1753947817378952305,0.04387254736820259,-0.001849179512775921,0.9129599999999998
1753947817394447423,0.06394912527372998,-0.003693437295920682,1.1031599999999997
1753947817410101552,0.0753991873428339,-0.004837613398927987,1.1982599999999997
1753947817433726793,0.10111973008626088,-0.007587082346362507,1.3884599999999996
1753947817454184693,0.13059734654116636,-0.01097053298358366,1.5786599999999995
1753947817473342508,0.16383378131210097,-0.014961010514499572,1.7688599999999994
1753947817491611366,0.20081444396143655,-0.019668508779687486,1.9590599999999994
1753947817510949195,0.2415218432576038,-0.025211339765812982,2.1492599999999995
1753947817530957844,0.2859364726050611,-0.03170606236655372,2.3394599999999994
1753947817551157362,0.3340363920741742,-0.03926938237732272,2.5296599999999994
1753947817570456918,0.38579691726752524,-0.04801920148927934,2.7198599999999993
1753947817589511210,0.44119042048679086,-0.05807485770993012,2.910059999999999
1753947817608375586,0.5001862194403609,-0.06955689306574407,3.100259999999999
1753947817626985281,0.5627702599041572,-0.08249265954445359,3.290459999999999
1753947817646421091,0.6289310317021996,-0.096898121409996,3.480659999999999
1753947817672694069,0.6986386057827056,-0.11287400708432527,3.670859999999999
1753947817691592763,0.7718620366554564,-0.13051641489650204,3.861059999999999
1753947817712204185,0.8485731632581955,-0.14990273648192626,4.051259999999999
1753947817733579134,0.9287120540159477,-0.17094777200144368,4.23217906798815
1753947817755240336,1.0119800875275256,-0.19363905413309118,4.396301791075645
1753947817773983241,1.0980406932192261,-0.21796543960081077,4.545187525084728
1753947817795935242,1.1865856880984715,-0.24391958497694546,4.680250856806356
1753947817816331795,1.2773663599412368,-0.2713866117650661,4.802775044211938
1753947817837218556,1.3701636328648004,-0.3002427650325459,4.913924208889283
1753947817858564616,1.5126544236913122,-0.3460737589314453,5.061602824989306
1753947817878793954,1.6095590666167665,-0.3782711975246683,5.148722677974131
1753947817898524047,1.7077222235853151,-0.41173167761839774,5.214783271452237
1753947817914462304,1.806604140360825,-0.44615818666517343,5.2476351655753755
1753947817929747229,1.8561291378682914,-0.46363054639522777,5.255717635677646
1753947817944650226,1.9549959195452549,-0.49894889799523184,5.243522165559361
1753947817959713748,2.0041243260693418,-0.5167161290153117,5.204973587800922
1753947817974731269,2.101187980829822,-0.5522479435851215,5.1200795674207615
1753947817990285609,2.149036160365016,-0.5698509002916523,5.0766116233869685
1753947818005322579,2.2432809005696783,-0.6047203763976348,4.966240195893477
1753947818020484682,2.289594108365583,-0.621950950318767,4.91668706804268
1753947818035356126,2.3806671573293277,-0.6559686640423404,4.798219432423479
1753947818050399182,2.4253479751652667,-0.6727095927037074,4.744598576074714
1753947818065826654,2.5132550981707804,-0.7057507039032085,4.642071857631516
1753947818083695860,2.5993076556204104,-0.7381210831316279,4.5519902192640656
1753947818103686416,2.6417557517807175,-0.7539558884497243,0.0
1753947818123809856,2.642848423590698,-0.7539557956912316,0.1362447876834869
1753947818144342772,2.6474753186565385,-0.7539534695861009,0.3264447876834869
1753947818165834357,2.6559062048869624,-0.7539412226293639,0.5166447876834869
1753947818186558747,2.6756819279989226,-0.7536039135043289,0.8019447876834868
1753947818208093315,2.693621749917537,-0.7534275608773026,0.9921447876834867
1753947818226764266,2.7153662832595917,-0.753536435408968,1.1823447876834867
1753947818242807503,2.74091302774647,-0.7538656344452023,1.3725447876834866
1753947818258438548,2.7551119241476156,-0.7541067572934206,1.4676447876834866
1753947818273957212,2.786360669651932,-0.7547252759116702,1.6578447876834865
1753947818289148351,2.8034103742525334,-0.7551055371572677,1.7529447876834865
1753947818304408824,2.8403595383490448,-0.7560361326933548,1.9431447876834864
1753947818319379417,2.8602586930970753,-0.7565929827782303,2.0382447876834866
1753947818337427933,2.9029057480598253,-0.7578929590655497,2.2284447876834865
1753947818355154268,2.949349517543448,-0.7594794729800091,2.4186447876834865
1753947818374942477,2.9739947427669575,-0.7603873945615084,2.5137447876834864
1753947818395013536,3.0261299647171165,-0.7624716413834234,2.7039447876834863
1753947818413280049,3.082056563238539,-0.7649358812286607,2.8941447876834863
1753947818434021737,3.1417718002424135,-0.7678202411294364,3.084344787683486
1753947818452312576,3.2052725842301655,-0.7711657425488206,3.274544787683486
1753947818472697776,3.2725554705357567,-0.7750139594348363,3.464744787683486
