time,pos_x,pos_y,lin_vel_x
1754410457040604446,34.02164989843232,22.636061446255965,1.0281145242832306
1754410457056699275,34.032886523283395,22.618870272517807,1.0256473600795488
1754410457073004858,34.03851119201923,22.61030272144676,1.0241329071191765
1754410457090974256,34.04980985732685,22.59323929484334,1.0230777870473622
1754410457111640138,34.0611886183639,22.576228028025046,1.023524113383113
1754410457131643106,34.07265189462088,22.559268113158772,1.023537498519984
1754410457152192143,34.084187722610864,22.54237921163447,1.0215451133195277
1754410457173214661,34.095783700322045,22.525580063269032,1.019817039371908
1754410457194087847,34.10744134059188,22.508867843307318,1.0179271301295516
1754410457215002028,34.119158516162855,22.492244830814816,1.0159363866539703
1754410457235575522,34.13093615040039,22.4757088470834,1.0143026682658478
1754410457255960182,34.14277810191828,22.459253592446217,1.013094053840323
1754410457276312019,34.15468830065104,22.44287285452246,1.012245994552559
1754410457297371242,34.16666933669877,22.42656248523904,1.0115826749711525
1754410457321126064,34.18477966203155,22.402231276142942,1.010455368269712
1754410457342413808,34.19693706336495,22.38609599127369,1.0099298595369721
1754410457363128970,34.20916913596623,22.3700247126384,1.0098254779090825
1754410457384216150,34.22147913644446,22.354012948605643,1.0098641017705767
1754410457405092761,34.23386830656347,22.33805900784122,1.0100882462899494
1754410457425640529,34.24633880949182,22.322160140258273,1.0105239830792037
1754410457446500071,34.25889145271253,22.30631543317105,1.0109203842961343
1754410457467491427,34.27152476844842,22.290526897219003,1.0111564290087636
1754410457487907433,34.28423634732141,22.274797683418512,1.0112042295520312
1754410457509470115,34.29702098929969,22.259134296666737,1.0106809596657538
1754410457526483086,34.30987190996731,22.243544972262224,1.00970517993883
1754410457542548793,34.32278808840941,22.22803069853334,1.0090478882634593
1754410457558074742,34.33577330568515,22.212586630976716,1.008732734106519
1754410457576276528,34.34228795639993,22.20488489612611,1.0087661919429587
1754410457593195446,34.355384182585055,22.189536901396124,1.0088469461773397
1754410457611771031,34.36853778279064,22.174235482896382,1.0089649695373126
1754410457631760608,34.381622649781896,22.15887039313862,1.0092003967835352
1754410457652899886,34.39470537930869,22.14349764055816,1.0094108462298308
1754410457673383338,34.407819637601804,22.128142646634572,1.0101289514284841
1754410457694331896,34.42098568497508,22.11280487675731,1.011226583405657
1754410457714968724,34.43421152719949,22.0974833079995,1.0127964270101768
1754410457735055130,34.447503920092664,22.082173319528117,1.0147028727773628
1754410457755814102,34.46086804627265,22.066870378072505,1.0169712357216238
1754410457777343600,34.474308166079396,22.051570479302292,1.0194781270459696
1754410457799179706,34.49461521325068,22.028612748040516,1.0238801007847458
1754410457820590942,34.50826158836473,22.013305149340287,1.0269479463145603
1754410457839245582,34.52199542755163,21.99799020512233,1.0302364339801187
1754410457856092271,34.53582029450447,21.982664771723822,1.0339352528069885
1754410457872346013,34.54277429208752,21.975000159455305,1.035890774688253
1754410457890937057,34.55674952668375,21.95964534886705,1.040299094034718
1754410457910792642,34.570736559927376,21.944179512548686,1.0449091845279666
1754410457931202482,34.584719148142995,21.928583439712693,1.0496719342782914
1754410457952716112,34.59875661623584,21.912895703995066,1.0556410674392553
1754410457974528982,34.61288783625305,21.897112032580647,1.064094591676316
1754410457994561481,34.627145664454666,21.88117479877935,1.074200068020969
1754410458014717089,34.64142096714411,21.864953299455344,1.0864893174631896
1754410458034879566,34.655797427114805,21.84847544691119,1.1001293306853785
1754410458055502451,34.670345266658536,21.831742902438112,1.1169128835307263
1754410458076452585,34.685191969082126,21.81467014080541,1.1452734918659448
1754410458097169432,34.7003959081252,21.797111067122746,1.177014608888033
1754410458118337550,34.71600621127627,21.779028133377633,1.211446303558563
1754410458136039976,34.74028243682684,21.750828261939446,1.2690521123077236
1754410458154526121,34.74860460472774,21.74112573653617,1.2874890780692831
1754410458175243295,34.76565073241526,21.721237156140386,1.3313787848328704
1754410458195696471,34.78330651578761,21.700589453083435,1.3846889355140002
1754410458213249833,34.801724949233396,21.678999517113482,1.452381647157926
1754410458228770010,34.82102378210971,21.656323730695757,1.5243865258892166
1754410458246837673,34.83102351367538,21.644561530651018,1.5632925930170147
1754410458267087049,34.85175275233324,21.62011478771184,1.6464542788345378
1754410458287428285,34.87362226462765,21.59425803825229,1.7458375251450657
1754410458307929200,34.8971433863013,21.566379443900065,1.899833568684924
1754410458328576033,34.9226807492,21.536037443718662,2.0640140199217076
1754410458349372710,34.95043610748058,21.50297913725148,2.250745269036302
1754410458371175460,34.98055986799316,21.467010333864035,2.440945269036302
1754410458394226701,35.03006454269571,21.407372028178386,2.7262452690363017
1754410458416556851,35.06584407573981,21.36373929089162,2.9164452690363016
1754410458439027724,35.103746371215976,21.31692948421777,3.1066452690363016
1754410458460640412,35.16436167946535,21.240589398496336,3.3919452690363014
1754410458481001087,35.20720655901823,21.185561330690607,3.5821452690363014
1754410458502946909,35.25193905707746,21.12718469562823,3.7723452690363013
1754410458523858855,35.29850282769001,21.06542192716595,3.962545269036301
1754410458543078893,35.34684402597474,21.000256052693704,4.149904313908138
1754410458565435336,35.39692001185192,20.931901597634937,4.321470248831947
1754410458586455763,35.44850791536278,20.860602118387273,4.477175242014142
1754410458606430167,35.501481949022626,20.786643609451595,4.6184214638113605
1754410458626652836,35.555750007586276,20.71030224150066,4.74646709653588
1754410458646699944,35.61116280563179,20.631782457890576,4.862500704958697
1754410458669151514,35.66759163087404,20.55127469117312,4.967657837152447
1754410458690938396,35.7538772348256,20.427173738482576,5.10577240380104
1754410458711175628,35.81245156436205,20.34252818189877,5.186876006929197
1754410458731239995,35.87189585904797,20.25660196020086,5.260772282398453
1754410458751947611,35.932163744672906,20.169526530721857,5.328328435607242
1754410458773253181,35.99322294753039,20.081435764405594,5.38858416005558
1754410458793095530,36.05490409699892,19.99242027226285,5.4389917008601705
1754410458812947579,36.117012352014214,19.90258622995917,5.481838360350407
1754410458834641619,36.17946188368673,19.812064318094013,5.51510302280966
1754410458855847620,36.24213726570203,19.720983384662617,5.540778589610344
1754410458877042121,36.30505268236607,19.62926404514071,5.581135840157463
1754410458897043260,36.36824739027998,19.53678156997103,5.6195504177224365
1754410458918948861,36.43163924018027,19.44354401381765,5.654676103033763
1754410458939373940,36.52667868710469,19.30216113071301,5.701486863918716
1754410458960305513,36.59007559824503,19.207042905779517,5.729126433774472
1754410458982162752,36.65330584893518,19.11118202979662,5.754229286696298
1754410459002943917,36.716312480646195,19.014601622778063,5.777027966482631
1754410459023386722,36.77914925125792,18.91739276262315,5.797708387984503
1754410459045274840,36.84176371679185,18.81957231617433,5.816464324836122
1754410459066481049,36.90412210665325,18.721164706602405,5.8334987233246105
1754410459086883898,36.9662023146655,18.622197951010556,5.848946264506196
1754410459108871429,37.027989152273165,18.5227011230239,5.862950596288477
1754410459129986599,37.08947144985847,18.422702474046933,5.875643624138331
1754410459150576084,37.18109873711039,18.271817492302972,5.892485970988495
1754410459173057589,37.241782004116054,18.170675188470238,5.9024117817191755
1754410459193056598,37.30226453777958,18.069192373126935,5.911409317028188
1754410459213093621,37.36267463632509,17.967467025911215,5.9195606962116845
1754410459234275824,37.42304148180625,17.86553550277862,5.926948960453345
1754410459255294065,37.48341738008823,17.763445776959557,5.933644709556067
1754410459277000254,37.54385991499813,17.661256590294013,5.938919642255853
1754410459298023216,37.60441376464926,17.559049175071213,5.940924270073223
1754410459318807549,37.69537323041061,17.40608784779789,5.921144632098645
